Greens,ARUGULA,.5 pound,$5.00,,x
Herbs,BASIL,bunch,$2.00,,x
Herbs,BASIL (loose),pound,$8.00,,
Beans & Peas,BEANS,pound,$3.20,,x
Other,BEETS,bunch,$2.40,,x
Greens,BOK CHOY LARGE,each,$1.60,,x
Greens,"BOK CHOY, BABY",each,$0.72,,
Greens,BROCCOLI,pound,$3.00,,x
Greens,CABBAGE,pound,$1.50,,x
Red & Orange,CARROTS,bunch,$2.40,Includes tops,x
Red & Orange,"CARROTS, BULK",pound,$2.00,Without tops,
Other,CAULIFLOWER,pound,$3.00,,x
Other,CELERY,pound,$2.55,,x
Greens,CHARD,bunch,$2.40,,x
Herbs,CILANTRO,bunch,$2.00,,x
Greens,COLLARDS,bunch,$2.40,,x
Starchy ,CORN,each,$0.26,,x
Other,CUCUMBERS,each,$1.00,,x
Other,"CUCUMBERS, BULK",pound,$1.60,,
Herbs,DILL,bunch,$2.00,,x
Other,EGGPLANT,pound,$3.00,,x
Herbs,FENNEL,each,$2.00,,x
Greens,GAILON,bunch,$2.20,,x
Herbs,GARLIC,each,$1.00,Large,x
Other,GREEN ONION,bunch,$1.50,,x
Greens,OTHER GREENS,bunch,$2.20,,x
Greens,KALE,bunch,$2.40,"Curly, Lacinto, Red, Russian, or Dino",x
Other,KOHLRABI,bunch,$2.40,,x
Other,LEEKS,each,$0.80,,x
Greens,LETTUCE,head,$2.20,"Romaine, Red, Green, or Iceberg",x
Greens,LETTUCE- MINI,head,$1.50,,x
Other,ONIONS,pound,$2.00,,x
Herbs,PARSLEY,bunch,$2.00,,x
Beans & Peas,PEAS,pound,$4.00,Snow or Snap,x
Red & Orange,"PEPPER, BELL",each,$1.00,,
Red & Orange,"PEPPERS, BELL",pound,$3.20,,x
Red & Orange,"PEPPERS, SWEET ITALIAN",pound,$3.20,,x
Starchy ,POTATOES,pound,$1.50,,x
Red & Orange,RADISHES,bunch,$2.50,,x
Greens,SAVOY CABBAGE,pound,$2.00,,x
Greens,SPINACH,bunch,$2.40,,x
Other,SPRING ONION,bunch,$2.34,,x
Other,SQUASH-SUMMER,pound,$1.00,,x
Starchy ,SQUASH-WINTER,pound,$1.00,,x
Fruit,STRAWBERRIES,pint,$4.00,,x
Red & Orange,"TOMATOES, CHERRY",pint,$4.00,,x
Red & Orange,"TOMATOES, HEIRLOOM",pound,$4.00,,
Red & Orange,"TOMATOES, REG",pound,$3.00,,x
Red & Orange,"TOMATOES, SAUCE",pound,$2.20,,x
Red & Orange,TURNIPS,bunch,$2.40,,x
Other,SPRING GARLIC,bunch,1.25,,x